source_medium,sessions,transactions,revenue,cvr,aov_proxy,rps,bounce_rate,p_cvr_vs_rest,action
youtube / social,163447,957,842907936.0336329,0.005855108995576548,880781.5423548933,5157.071931779922,0.7881148017400136,5.978924617452562e-24,FIX
facebook / social,176662,500,534485686.26885355,0.002830263440921081,1068971.372537707,3025.4705950847015,0.8440015396633118,1.3258449302356282e-149,FIX
m.facebook.com / referral,17631,127,114188784.44747528,0.007203221598321139,899124.2869879943,6476.591483607015,0.6997334240825818,0.2818869803320342,PAUSE
l.facebook.com / referral,7144,103,150801642.1293142,0.014417693169092945,1464093.6129059633,21108.852481706916,0.3705207166853303,5.013603185324417e-10,SCALE
(direct) / (none),108534,1048,1040851446.8544917,0.00965596034422393,993178.8615023775,9590.095701388429,0.5532644148377467,1.2835802857392978e-11,SCALE
youtube.com / referral,42464,508,402541914.8201672,0.01196307460437076,792405.3441341873,9479.604248779371,0.6392238131122834,1.0145604021486338e-21,SCALE
google / cpc,723208,6566,6656088123.794391,0.009078992489021139,1013720.396557172,9203.559866310094,0.6219013064014779,5.4236743346147193e-67,SCALE
